Date,Symbol,Series,Open,High,Low,LTP,Close,Volume,"Turnover
(in Lakhs)"
16-Oct-2020,INFY,EQ,1113.85,1135.95,1096.9,1129.5,1127.5,"1,83,66,133","2,05,472.38"
15-Oct-2020,INFY,EQ,1180,1186,1092.5,1113.25,1108.25,"4,42,88,566","4,99,651.28"
14-Oct-2020,INFY,EQ,1162,1164.9,1131.1,1138,1137,"1,66,49,731","1,90,504.29"
13-Oct-2020,INFY,EQ,1135.55,1166.05,1135.55,1160,1157.8,"1,75,24,137","2,01,424.92"
12-Oct-2020,INFY,EQ,1123,1140,1112.1,1139.2,1132.1,"1,46,33,780","1,64,702.83"
09-Oct-2020,INFY,EQ,1095.1,1113.3,1088.45,1111.2,1106.8,"1,05,67,955","1,16,264.21"
08-Oct-2020,INFY,EQ,1090,1124,1088.4,1094.5,1093.7,"2,14,83,024","2,37,596.57"
07-Oct-2020,INFY,EQ,1044.9,1072,1035.5,1070.1,1066.55,"92,84,060",97788.24
06-Oct-2020,INFY,EQ,1055,1060,1031.35,1056.45,1055.75,"90,90,819",94949.84
05-Oct-2020,INFY,EQ,1018.05,1054.9,1018.05,1047.6,1048.7,"1,42,12,560","1,48,332.26"
01-Oct-2020,INFY,EQ,1020.6,1026.5,1011.75,1018.7,1017.65,"55,63,432",56546.51
30-Sep-2020,INFY,EQ,1009,1023.95,1005,1006,1008.25,"80,49,899",81459.08
29-Sep-2020,INFY,EQ,1018,1028,1004.1,1013.85,1009,"87,08,572",88535.58
28-Sep-2020,INFY,EQ,1014.8,1016.15,998.5,1010.9,1010.4,"85,54,583",85962.35
25-Sep-2020,INFY,EQ,975.8,1014.9,975,1006.6,1011.45,"1,33,11,079","1,32,883.52"
24-Sep-2020,INFY,EQ,1003,1009,970,977.75,975.4,"1,44,27,463","1,42,357.38"
23-Sep-2020,INFY,EQ,1020.15,1037,1008.1,1019.85,1019.75,"1,34,86,274","1,38,109.89"
22-Sep-2020,INFY,EQ,1009,1022.5,991.2,1008,1007.5,"1,26,25,775","1,27,241.48"
21-Sep-2020,INFY,EQ,1001,1031,1000.5,1007,1009.9,"1,41,40,790","1,44,142.21"
18-Sep-2020,INFY,EQ,1011,1018.8,999.1,1003.4,1002.15,"1,28,97,897","1,29,911.32"
